"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"86" "MOTE2-515" 6112362.087 2251853.71 3860508.377 51243.08533 37624.01909 15307.44674 "Accuri" "Muskegon" "MOTE2F515" "Spring" "May" 2015 "Free" "MOT" "Surface" 16615 "MOTEF515" 40.02 23.65
"87" "MOTE1-714" 10680409.05 3336428.292 7343980.758 88648.11552 34678.9324 53973.15993 "Accuri" "Muskegon" "MOTE1F714" "Summer" "July" 2014 "Free" "MOT" "Surface" 19631 "MOTEF714" 62.51 3.27
"88" "MOTE1-715" 7446699.551 1692623.59 5754075.961 129623.6689 22077.82787 121118.6596 "Accuri" "Muskegon" "MOTE1F715" "Summer" "July" 2015 "Free" "MOT" "Surface" 22117 "MOTEF715" 16.95 2.69
"89" "MOTE1-914" 7020677.316 1981122.045 5039555.271 264490.42 107837.3466 157405.0115 "Accuri" "Muskegon" "MOTE1F914" "Fall" "September" 2014 "Free" "MOT" "Surface" 26863 "MOTEF914" 22.63 1.71
"90" "MOTE2-915" 5694244.407 1401867.377 4292377.03 37342.01837 21237.27162 31341.13583 "Accuri" "Muskegon" "MOTE2F915" "Fall" "September" 2015 "Free" "MOT" "Surface" 20799 "MOTEF915" 8.91 0.55
"91" "MUSOUTH-hypo-outlet-514" 2495231.206 1090246.4 1404984.806 24546.7082 18706.108 8511.54267 "Accuri" "Muskegon" "MOTH2F514" "Spring" "May" 2014 "Free" "MOT" "Deep" 31614 "MOTHF514" NA NA
"92" "MOTH2-515" 4166163.566 1406325.993 2759837.573 78433.77157 27878.6762 58133.28594 "Accuri" "Muskegon" "MOTH2F515" "Spring" "May" 2015 "Free" "MOT" "Deep" 22547 "MOTHF515" NA NA
"93" "MOTH1-714" 4961204.52 1256146.4 3705058.12 135695.8361 40864.0981 96817.8741 "Accuri" "Muskegon" "MOTH1F714" "Summer" "July" 2014 "Free" "MOT" "Deep" 30110 "MOTHF714" NA NA
"94" "MOTH1-715" 3892023.742 776630.043 3115393.699 49202.28605 14569.09978 34678.39291 "Accuri" "Muskegon" "MOTH1F715" "Summer" "July" 2015 "Free" "MOT" "Deep" 17107 "MOTHF715" NA NA
"95" "MOTH1-914" 7050809.616 1979421.196 5071388.42 39531.72207 25550.83738 14298.714 "Accuri" "Muskegon" "MOTH1F914" "Fall" "September" 2014 "Free" "MOT" "Deep" 25154 "MOTHF914" NA NA
