"","OTU","moduleColor","moduleMemberCorr","GS.bacprod","p.GS.bacprod","Domain","Phylum","Class","Order","Family","Genus","Species"
"128","Otu000179","blue",0.223658359887022,-0.157580910889319,0.472700140307606,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Unclassified"
"129","Otu000182","blue",0.00322737256376507,-0.397528616112226,0.0603231717907505,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","acIV","acIV-D","Iamia"
"130","Otu000183","blue",0.381770372982706,-0.154985113404037,0.480115459425963,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","bacVI","bacVI_unclassified","Unclassified"
"131","Otu000184","blue",-0.00603719908158817,0.0480216204906198,0.827752113587179,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Unclassified","Unclassified"
"132","Otu000187","blue",-0.0267371568421126,0.198350574889576,0.364264746533624,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","bacII","bacII-A","Unclassified"
"133","Otu000189","blue",0.366422915505646,-0.122432084640857,0.577855179143643,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus","Unclassified"
"134","Otu000190","blue",-0.465313580550309,0.0626428349323276,0.776448977871294,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","bacII","bacII-A","Flavo-A3"
"135","Otu000191","blue",-0.129750093877315,-0.145753390905767,0.506955746403591,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","bacVI","bacVI-B","Pedo"
"136","Otu000192","blue",-0.305043576477035,0.642243135117888,0.000952519461931721,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","gamIV","gamIV-A","Pseudo-A1"
"137","Otu000193","blue",-0.423102209941074,0.216772104844096,0.320463174843997,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","bacII","bacII-A","Unclassified"
"138","Otu000194","blue",-0.00324022931791507,0.358956803817584,0.0925515591542844,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix","Unclassified"
